GC code,Sample_name,Exp,Time,Replicate,Condition,Species.combi
GC124670,RI_T04,RI_batch_WC,4,1,WC,RI
GC124671,RI_T04,RI_batch_WC,4,2,WC,RI
GC124672,RI_T04,RI_batch_WC,4,3,WC,RI
GC124673,RI_T12,RI_batch_WC,12,1,WC,RI
GC124674,RI_T12,RI_batch_WC,12,2,WC,RI
GC124675,RI_T12,RI_batch_WC,12,3,WC,RI
GC124676,RI_T48,RI_batch_WC,48,1,WC,RI
GC124677,RI_T48,RI_batch_WC,48,2,WC,RI
GC124678,RI_T48,RI_batch_WC,48,3,WC,RI
GC124688,BTRI_T12,BTRI_batch_WC,12,1,WC,BTRI
GC124689,BTRI_T12,BTRI_batch_WC,12,2,WC,BTRI
GC124690,BTRI_T12,BTRI_batch_WC,12,3,WC,BTRI
GC124691,BTRI_T24,BTRI_batch_WC,24,1,WC,BTRI
GC124692,BTRI_T24,BTRI_batch_WC,24,2,WC,BTRI
GC124693,BTRI_T24,BTRI_batch_WC,24,3,WC,BTRI
GC124694,BTRI_T36,BTRI_batch_WC,36,1,WC,BTRI
GC124695,BTRI_T36,BTRI_batch_WC,36,2,WC,BTRI
GC124696,BTRI_T36,BTRI_batch_WC,36,3,WC,BTRI
GC124712,RI_mucin_T16,RI_batch_mucin,16,1,mucin,RI
GC124713,RI_mucin_T16,RI_batch_mucin,16,2,mucin,RI
GC124714,RI_mucin_T16,RI_batch_mucin,16,3,mucin,RI
GC124715,RI_mucin_T28,RI_batch_mucin,28,1,mucin,RI
GC124716,RI_mucin_T28,RI_batch_mucin,28,2,mucin,RI
GC124717,RI_mucin_T28,RI_batch_mucin,28,3,mucin,RI
GC124718,RI_mucin_T40,RI_batch_mucin,40,1,mucin,RI
GC124719,RI_mucin_T40,RI_batch_mucin,40,2,mucin,RI
GC124720,RI_mucin_T40,RI_batch_mucin,40,3,mucin,RI
GC124721,RI_mucin_T48,RI_batch_mucin,48,1,mucin,RI
GC124722,RI_mucin_T48,RI_batch_mucin,48,2,mucin,RI
GC124723,RI_mucin_T48,RI_batch_mucin,48,3,mucin,RI
GC124724,BTRI_mucin_T06,BTRI_batch_mucin,6,1,mucin,BTRI
GC124725,BTRI_mucin_T06,BTRI_batch_mucin,6,2,mucin,BTRI
GC124726,BTRI_mucin_T06,BTRI_batch_mucin,6,3,mucin,BTRI
GC124727,BTRI_mucin_T12,BTRI_batch_mucin,12,1,mucin,BTRI
GC124728,BTRI_mucin_T12,BTRI_batch_mucin,12,2,mucin,BTRI
GC124729,BTRI_mucin_T12,BTRI_batch_mucin,12,3,mucin,BTRI
GC124730,BTRI_mucin_T24,BTRI_batch_mucin,24,1,mucin,BTRI
GC124731,BTRI_mucin_T24,BTRI_batch_mucin,24,2,mucin,BTRI
GC124732,BTRI_mucin_T24,BTRI_batch_mucin,24,3,mucin,BTRI
GC124733,BTRI_mucin_T48,BTRI_batch_mucin,48,1,mucin,BTRI
GC124734,BTRI_mucin_T48,BTRI_batch_mucin,48,2,mucin,BTRI
GC124735,BTRI_mucin_T48,BTRI_batch_mucin,48,3,mucin,BTRI
GC124736,BTRI_mucin_T120,BTRI_batch_mucin,120,1,mucin,BTRI
GC124737,BTRI_mucin_T120,BTRI_batch_mucin,120,2,mucin,BTRI
GC124738,BTRI_mucin_T120,BTRI_batch_mucin,120,3,mucin,BTRI
